Namespace(cpu=False, exp_name='loop', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-ab8ymzk3
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=299.17578125, F_max=1.2085936069488525
C_max=312.087890625, F_max=1.2060472965240479
C_max=310.76953125, F_max=1.2035788297653198
C_max=292.15234375, F_max=1.2012953758239746
C_max=261.083984375, F_max=1.1992053985595703
C_max=253.6640625, F_max=1.197453260421753
C_max=260.30078125, F_max=1.1958742141723633
C_max=252.77734375, F_max=1.1941022872924805
C_max=231.55078125, F_max=1.1917160749435425
C_max=204.2890625, F_max=1.1885119676589966
C_max=197.0751953125, F_max=1.1847563982009888
C_max=193.1875, F_max=1.1809666156768799
C_max=188.3671875, F_max=1.1775469779968262
C_max=183.490234375, F_max=1.1965765953063965
C_max=190.203125, F_max=1.2152209281921387
C_max=237.203125, F_max=1.2330886125564575
C_max=243.265625, F_max=1.2503533363342285
C_max=204.65625, F_max=1.266989827156067
C_max=195.42578125, F_max=1.2828660011291504
C_max=200.5703125, F_max=1.298206090927124
C_max=214.2421875, F_max=1.3131110668182373
C_max=226.49609375, F_max=1.3269610404968262
C_max=236.7109375, F_max=1.339224934577942
C_max=243.490234375, F_max=1.3497415781021118
C_max=245.650390625, F_max=1.3588212728500366
C_max=242.4619140625, F_max=1.3670129776000977
C_max=234.072265625, F_max=1.3747197389602661
C_max=221.7685546875, F_max=1.3820186853408813
C_max=206.099609375, F_max=1.3877462148666382
C_max=187.0986328125, F_max=1.3902736902236938
C_max=201.8914794921875, F_max=1.3885103464126587
C_max=203.931884765625, F_max=1.3829960823059082
